id	sn	s1	s2	s3	s4	s5	s6	d	dp2	dp2s	d2	d2s	dp4	dp4s	d4	d4s
31121	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31123	0	0	0	0	0	0	0	1	2	1	2	1	1	0	1	1
31125	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31127	1	1	0	0	0	0	0	4	5	1	5	1	4	1	4	2
31129	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31131	0	0	0	0	0	0	0	4	4	1	4	1	4	1	4	2
31133	0	0	0	0	0	0	0	4	4	1	4	1	4	1	4	2
31135	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31137	0	0	0	0	0	0	0	3	3	1	3	1	2	1	2	1
31139	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31141	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	2
31143	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	2
31145	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31147	0	0	0	0	0	0	0	4	5	1	5	1	4	1	4	1
31149	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31151	1	0	1	0	0	0	0	4	4	1	4	1	3	1	4	2
31153	3	0	2	1	0	0	0	4	4	1	4	1	4	1	4	2
31155	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31157	4	0	1	0	1	1	1	1	1	1	2	1	1	0	1	1
31159	1	0	1	0	0	0	0	4	4	1	4	1	3	1	4	2
31161	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
31163	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31165	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
31167	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31169	0	0	0	0	0	0	0	3	4	1	4	1	3	1	3	1
31171	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31173	2	0	0	0	1	1	0	4	3	1	4	1	3	1	3	1
31175	0	0	0	0	0	0	0	3	3	1	3	1	2	1	2	1
31177	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31179	1	1	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31181	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31183	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
